deal_id,company_name,industry,rep_name,lead_source,product_line,deal_stage,deal_value,created_date,close_date,days_in_stage,last_activity_days_ago,probability_pct,competitor_mentioned,num_stakeholders,next_action
DL-1001,Northbay Health Services,Hospital System,Rachel Kim,Inbound,Meridian Core,Closed Lost,18000,2024-05-09,2024-06-12,0,89,0,None,7,Send proposal
DL-1002,Lakeside Health System,Urgent Care,Connor Walsh,Inbound,Meridian Core,Closed Lost,26000,2024-04-24,2024-06-06,0,32,4,Cerner,2,Follow-up call
DL-1003,Briar Hospital,Health Network,Derek Stone,Outbound,Meridian Enterprise,Qualified,257000,2024-05-05,2024-09-07,5,11,28,In-House Solution,1,Pilot debrief
DL-1004,Hawthorne Surgical Center,Outpatient Clinic,Aisha Brooks,Conference,Meridian Pro,Closed Lost,114000,2024-08-06,2024-10-08,0,63,0,None,1,Pilot debrief
DL-1005,Redwood Health Services,Outpatient Clinic,Tomas Rivera,Outbound,Meridian Enterprise,Prospecting,329000,2024-08-13,2024-12-08,5,3,15,None,1,Send proposal
DL-1006,Evergreen Hospital,Outpatient Clinic,Derek Stone,Referral,Meridian Enterprise,Proposal Sent,279000,2024-08-25,2024-11-06,4,14,51,None,1,Contract sent
DL-1007,Ironwood Clinic,Hospital System,Fatima Hassan,Referral,Meridian Pro,Closed Won,85000,2024-06-12,2024-07-07,0,88,95,None,4,Executive meeting
DL-1008,Ivy Brook Health Services,Specialty Practice,Megan Torres,Referral,Meridian Pro,Closed Lost,110000,2024-08-06,2024-09-03,0,80,3,None,3,Executive meeting
DL-1009,Sequoia Health Services,Health Network,Connor Walsh,Inbound,Meridian Core,Closed Lost,12000,2024-05-09,2024-06-16,0,48,0,In-House Solution,6,Pilot debrief
DL-1010,Lakeside Health Network,Urgent Care,Rachel Kim,Partner,Meridian Enterprise,Closed Won,446000,2024-05-03,2024-08-04,0,75,100,Epic,4,Executive meeting
DL-1011,Riverside Care Partners,Health Network,Marcus Webb,Outbound,Meridian Enterprise,Closed Won,274000,2024-05-19,2024-09-23,0,25,100,In-House Solution,1,Send proposal
DL-1012,Clearwater Community Hospital,Ambulatory Surgery Center,Aisha Brooks,Referral,Meridian Pro,Closed Won,84000,2024-09-05,2024-10-14,0,40,96,Epic,4,Contract sent
DL-1013,Coastal Women's Health,Outpatient Clinic,Priya Nair,Referral,Meridian Enterprise,Closed Lost,235000,2024-05-07,2024-07-15,0,45,3,None,3,Legal review
DL-1014,Cedar Pediatric Center,Ambulatory Surgery Center,Derek Stone,Referral,Meridian Core,Closed Lost,28000,2024-04-07,2024-05-13,0,46,0,None,3,Demo scheduled
DL-1015,Sunset Care Partners,Health Network,Aisha Brooks,Outbound,Meridian Enterprise,Demo Scheduled,474000,2024-06-01,2024-09-17,17,5,38,None,6,Send proposal
DL-1016,Elmwood Hospital,Health Network,Connor Walsh,Inbound,Meridian Enterprise,Closed Lost,419000,2024-04-27,2024-07-25,0,25,2,None,2,Executive meeting
DL-1017,Beacon Medical Group,Ambulatory Surgery Center,Aisha Brooks,Conference,Meridian Pro,Proposal Sent,51000,2024-08-01,2024-09-29,16,7,51,In-House Solution,2,Follow-up call
DL-1018,Elmwood Health Network,Urgent Care,Lauren Tate,Outbound,Meridian Enterprise,Qualified,342000,2024-08-30,2025-01-06,19,1,25,In-House Solution,2,Executive meeting
DL-1019,Maple Physicians Group,Health Network,Aisha Brooks,Referral,Meridian Enterprise,Closed Won,400000,2024-05-25,2024-07-28,0,78,97,In-House Solution,7,Pricing review
DL-1020,Sequoia Community Hospital,Urgent Care,Lauren Tate,Conference,Meridian Core,Closed Won,40000,2024-08-15,2024-10-12,0,25,97,None,1,Pricing review
DL-1021,Cascade Health Network,Urgent Care,Marcus Webb,Partner,Meridian Pro,Closed Lost,53000,2024-06-23,2024-08-17,0,56,0,None,4,Pricing review
DL-1022,Willow Surgical Center,Specialty Practice,Sarah Chen,Inbound,Meridian Pro,Qualified,118000,2024-10-12,2024-11-20,24,46,33,Epic,3,Pricing review
DL-1023,Coastal Cardiac Institute,Hospital System,Aisha Brooks,Referral,Meridian Pro,Closed Won,96000,2024-07-24,2024-08-23,0,55,100,None,2,Legal review
DL-1024,Pinnacle Health Services,Health Network,Andre Bishop,Conference,Meridian Enterprise,Qualified,148000,2024-05-07,2024-08-13,23,3,31,Epic,4,Check in
DL-1025,Tidewater Cardiac Institute,Outpatient Clinic,Rachel Kim,Inbound,Meridian Enterprise,Closed Lost,334000,2024-04-24,2024-07-08,0,74,0,Cerner,1,Send proposal
DL-1026,Lakeside Clinic,Outpatient Clinic,Connor Walsh,Inbound,Meridian Core,Closed Lost,23000,2024-04-27,2024-05-28,0,79,5,None,4,Check in
DL-1027,Cardinal Hospital,Ambulatory Surgery Center,Priya Nair,Referral,Meridian Core,Closed Won,39000,2024-06-11,2024-07-29,0,27,100,None,2,Send proposal
DL-1028,Lakeshore Health Network,Outpatient Clinic,Nina Patel,Partner,Meridian Enterprise,Negotiation,313000,2024-05-02,2024-08-09,30,1,73,In-House Solution,2,Contract sent
DL-1029,Vista Care Partners,Outpatient Clinic,Marcus Webb,Outbound,Meridian Enterprise,Demo Scheduled,256000,2024-05-17,2024-09-18,16,9,45,None,1,Contract sent
DL-1030,Elmwood Health Services,Urgent Care,Marcus Webb,Outbound,Meridian Enterprise,Closed Lost,197000,2024-04-04,2024-08-06,0,82,0,In-House Solution,4,Pricing review
DL-1031,Mercy Hospital,Health Network,Megan Torres,Referral,Meridian Enterprise,Closed Won,461000,2024-08-08,2024-10-24,0,76,100,None,5,Executive meeting
DL-1032,Vista Physicians Group,Specialty Practice,Devon Mills,Outbound,Meridian Enterprise,Demo Scheduled,443000,2024-04-15,2024-08-10,3,8,37,None,1,Contract sent
DL-1033,Evergreen Oncology Partners,Outpatient Clinic,Andre Bishop,Partner,Meridian Core,Qualified,14000,2024-06-24,2024-08-20,13,35,31,None,2,Demo scheduled
DL-1034,Crestwood Surgical Center,Hospital System,Julia Novak,Conference,Meridian Core,Closed Won,37000,2024-04-02,2024-05-24,0,27,99,None,2,Pilot debrief
DL-1035,Sequoia Health System,Ambulatory Surgery Center,Julia Novak,Conference,Meridian Enterprise,Proposal Sent,299000,2024-10-10,2025-01-28,6,5,59,In-House Solution,4,Pricing review
DL-1036,Riverside Healthcare System,Hospital System,Lauren Tate,Partner,Meridian Enterprise,Qualified,399000,2024-08-13,2024-11-16,4,22,35,None,8,Pricing review
DL-1037,Northbay Women's Health,Urgent Care,Marcus Webb,Outbound,Meridian Enterprise,Proposal Sent,225000,2024-09-08,2025-01-09,4,12,58,Cerner,1,Escalation call
DL-1038,Evergreen Cardiac Institute,Ambulatory Surgery Center,Nina Patel,Outbound,Meridian Core,Proposal Sent,26000,2024-04-20,2024-06-26,17,14,56,None,1,Pilot debrief
DL-1039,Pinecrest Community Hospital,Outpatient Clinic,Aisha Brooks,Referral,Meridian Enterprise,Closed Won,480000,2024-04-20,2024-07-05,0,42,95,Epic,3,Send proposal
DL-1040,Ironwood Physicians Group,Ambulatory Surgery Center,Aisha Brooks,Referral,Meridian Enterprise,Prospecting,246000,2024-09-20,2024-11-27,19,19,17,None,1,Pricing review
DL-1041,Willow Oncology Partners,Health Network,Fatima Hassan,Partner,Meridian Core,Closed Lost,21000,2024-06-08,2024-07-28,0,71,0,In-House Solution,2,Check in
DL-1042,Maple Healthcare System,Specialty Practice,Connor Walsh,Conference,Meridian Core,Proposal Sent,22000,2024-08-06,2024-09-09,14,5,52,Epic,3,Send proposal
DL-1043,Ridgeline Hospital,Outpatient Clinic,Rachel Kim,Inbound,Meridian Pro,Prospecting,55000,2024-04-01,2024-05-24,11,18,16,Epic,3,Executive meeting
DL-1044,Pacific Medical Center,Hospital System,Nina Patel,Partner,Meridian Enterprise,Qualified,246000,2024-04-13,2024-07-12,10,6,28,None,7,Pricing review
DL-1045,Beacon Community Hospital,Ambulatory Surgery Center,Derek Stone,Inbound,Meridian Pro,Demo Scheduled,97000,2024-05-23,2024-07-04,17,1,43,None,4,Check in
DL-1046,Harbor Medical Group,Ambulatory Surgery Center,Tomas Rivera,Outbound,Meridian Enterprise,Demo Scheduled,233000,2024-06-16,2024-10-14,17,9,45,Epic,2,Send proposal
DL-1047,Briar Health Alliance,Urgent Care,Aisha Brooks,Conference,Meridian Core,Closed Won,40000,2024-08-07,2024-10-09,0,82,100,None,2,Send proposal
DL-1048,Vista Regional Health,Health Network,Devon Mills,Referral,Meridian Enterprise,Proposal Sent,391000,2024-06-27,2024-08-26,14,7,58,In-House Solution,1,Escalation call
DL-1049,Elmwood Physicians Group,Ambulatory Surgery Center,Nina Patel,Outbound,Meridian Enterprise,Qualified,370000,2024-08-26,2025-01-01,4,29,31,Epic,4,Contract sent
DL-1050,Sunset Surgical Center,Ambulatory Surgery Center,Sarah Chen,Inbound,Meridian Pro,Closed Won,115000,2024-05-03,2024-06-10,0,75,100,Epic,1,Demo scheduled
DL-1051,Heritage Health System,Ambulatory Surgery Center,Lauren Tate,Conference,Meridian Core,Closed Lost,41000,2024-05-09,2024-06-14,0,30,0,None,3,Legal review
DL-1052,Crystal Physicians Group,Hospital System,Nina Patel,Inbound,Meridian Core,Qualified,31000,2024-08-14,2024-09-22,14,14,25,Cerner,5,Check in
DL-1053,Granite Community Hospital,Urgent Care,Connor Walsh,Inbound,Meridian Core,Closed Won,13000,2024-07-31,2024-09-22,0,64,95,None,4,Send proposal
DL-1054,Ironwood Women's Health,Health Network,Nina Patel,Referral,Meridian Enterprise,Closed Won,273000,2024-05-29,2024-08-13,0,75,98,In-House Solution,2,Demo scheduled
DL-1055,Foxglove Health System,Health Network,Chris Park,Inbound,Meridian Enterprise,Prospecting,235000,2024-05-22,2024-08-15,21,3,13,In-House Solution,3,Executive meeting
DL-1056,Harbor Hospital,Urgent Care,Marcus Webb,Outbound,Meridian Core,Qualified,38000,2024-05-25,2024-07-09,14,12,30,In-House Solution,2,Check in
DL-1057,Sunset Medical Group,Ambulatory Surgery Center,Aisha Brooks,Partner,Meridian Pro,Closed Lost,44000,2024-05-18,2024-06-23,0,73,0,None,1,Follow-up call
DL-1058,Pinecrest Community Hospital,Specialty Practice,Priya Nair,Referral,Meridian Core,Closed Won,25000,2024-06-11,2024-07-13,0,64,100,None,2,Check in
DL-1059,Clearwater Hospital,Outpatient Clinic,Derek Stone,Outbound,Meridian Enterprise,Qualified,342000,2024-07-24,2024-11-09,22,1,31,None,1,Contract sent
DL-1060,Ivy Brook Regional Health,Urgent Care,Aisha Brooks,Referral,Meridian Pro,Closed Won,86000,2024-10-09,2024-11-06,0,30,99,In-House Solution,3,Contract sent
DL-1061,Pacific Community Hospital,Hospital System,Sarah Chen,Inbound,Meridian Core,Closed Won,18000,2024-10-02,2024-11-09,0,84,100,None,3,Escalation call
DL-1062,Willow Health Alliance,Ambulatory Surgery Center,Devon Mills,Referral,Meridian Core,Proposal Sent,27000,2024-04-03,2024-05-03,13,13,59,None,4,Legal review
DL-1063,Cardinal Hospital,Hospital System,Connor Walsh,Inbound,Meridian Pro,Closed Won,110000,2024-07-14,2024-08-23,0,79,96,None,4,Send proposal
DL-1064,Ironwood Oncology Partners,Health Network,Sam Elliot,Conference,Meridian Enterprise,Qualified,335000,2024-08-06,2024-11-19,19,11,26,None,5,Check in
DL-1065,Forge Hospital,Specialty Practice,Nina Patel,Partner,Meridian Core,Closed Won,23000,2024-10-06,2024-11-09,0,61,100,None,4,Contract sent
DL-1066,Trailhead Health System,Ambulatory Surgery Center,Connor Walsh,Inbound,Meridian Core,Closed Won,41000,2024-08-08,2024-09-01,0,85,98,Epic,3,Demo scheduled
DL-1067,Cardinal Medical Center,Urgent Care,James Okafor,Inbound,Meridian Core,Closed Lost,16000,2024-04-13,2024-05-17,0,47,2,Cerner,1,Pilot debrief
DL-1068,Highland Care Partners,Outpatient Clinic,Andre Bishop,Conference,Meridian Core,Prospecting,14000,2024-05-26,2024-07-05,21,4,10,None,2,Pilot debrief
DL-1069,Sequoia Pediatric Center,Specialty Practice,Tomas Rivera,Outbound,Meridian Enterprise,Closed Lost,347000,2024-04-20,2024-08-08,0,75,5,Cerner,1,Legal review
DL-1070,Summit Care Partners,Outpatient Clinic,Megan Torres,Referral,Meridian Enterprise,Demo Scheduled,257000,2024-09-26,2024-12-02,20,6,41,Epic,2,Executive meeting
DL-1071,Mercy Health System,Health Network,Megan Torres,Conference,Meridian Enterprise,Closed Lost,146000,2024-05-23,2024-08-29,0,71,2,None,3,Executive meeting
DL-1072,Atlas Health Network,Ambulatory Surgery Center,Priya Nair,Referral,Meridian Enterprise,Closed Won,187000,2024-08-25,2024-10-22,0,45,100,None,4,Escalation call
DL-1073,Tidewater Medical Group,Hospital System,Aisha Brooks,Referral,Meridian Pro,Closed Won,80000,2024-06-17,2024-07-08,0,74,96,In-House Solution,4,Pilot debrief
DL-1074,Juniper Health Alliance,Health Network,Megan Torres,Conference,Meridian Enterprise,Proposal Sent,304000,2024-09-05,2024-12-30,13,2,52,In-House Solution,1,Pricing review
DL-1075,Lakeshore Health Services,Specialty Practice,Marcus Webb,Inbound,Meridian Enterprise,Demo Scheduled,333000,2024-09-18,2024-12-05,22,7,39,Cerner,4,Check in
DL-1076,Lakeside Health Network,Hospital System,Fatima Hassan,Partner,Meridian Core,Closed Won,43000,2024-08-07,2024-09-17,0,83,97,Epic,2,Legal review
DL-1077,Forge Women's Health,Specialty Practice,Andre Bishop,Conference,Meridian Enterprise,Closed Won,361000,2024-07-20,2024-11-04,0,41,96,In-House Solution,1,Follow-up call
DL-1078,Glenwood Surgical Center,Hospital System,Julia Novak,Outbound,Meridian Core,Closed Won,19000,2024-07-06,2024-08-25,0,87,99,None,2,Check in
DL-1079,Cardinal Women's Health,Urgent Care,Nina Patel,Partner,Meridian Pro,Closed Won,98000,2024-05-11,2024-06-11,0,86,98,Cerner,2,Check in
DL-1080,Harbor Women's Health,Specialty Practice,Andre Bishop,Conference,Meridian Core,Closed Lost,29000,2024-04-10,2024-06-04,0,73,0,None,1,Check in
DL-1081,Valley Care Partners,Ambulatory Surgery Center,Fatima Hassan,Partner,Meridian Core,Closed Lost,28000,2024-08-21,2024-10-04,0,75,0,None,2,Check in
DL-1082,Foxglove Regional Health,Health Network,Rachel Kim,Inbound,Meridian Core,Closed Lost,15000,2024-10-13,2024-11-14,0,57,0,Cerner,1,Follow-up call
DL-1083,Heritage Health System,Ambulatory Surgery Center,Connor Walsh,Inbound,Meridian Pro,Closed Won,93000,2024-05-09,2024-06-17,0,31,97,Epic,1,Follow-up call
DL-1084,Coastal Care Partners,Hospital System,Sarah Chen,Inbound,Meridian Enterprise,Closed Won,282000,2024-08-24,2024-11-10,0,63,100,None,8,Legal review
DL-1085,Lakeside Oncology Partners,Ambulatory Surgery Center,Lauren Tate,Outbound,Meridian Core,Closed Won,40000,2024-04-04,2024-05-21,0,43,100,None,1,Follow-up call
DL-1086,Westmark Surgical Center,Specialty Practice,Derek Stone,Partner,Meridian Enterprise,Qualified,365000,2024-06-29,2024-09-30,2,48,25,Epic,2,Follow-up call
DL-1087,Crystal Hospital,Health Network,James Okafor,Outbound,Meridian Enterprise,Closed Lost,411000,2024-04-04,2024-08-10,0,78,4,In-House Solution,5,Follow-up call
DL-1088,Riverside Oncology Partners,Specialty Practice,Chris Park,Inbound,Meridian Pro,Closed Lost,99000,2024-10-01,2024-10-26,0,82,0,None,2,Follow-up call
DL-1089,Cardinal Cardiac Institute,Ambulatory Surgery Center,James Okafor,Referral,Meridian Core,Closed Won,29000,2024-06-25,2024-08-04,0,80,100,Cerner,2,Send proposal
DL-1090,Hawthorne Pediatric Center,Health Network,Julia Novak,Conference,Meridian Enterprise,Qualified,181000,2024-04-04,2024-07-22,14,4,31,In-House Solution,8,Escalation call
DL-1091,Sequoia Health System,Hospital System,Julia Novak,Conference,Meridian Pro,Qualified,69000,2024-09-26,2024-11-17,14,2,34,None,1,Send proposal
DL-1092,Ridgeline Care Partners,Health Network,James Okafor,Referral,Meridian Enterprise,Closed Lost,121000,2024-09-07,2024-11-04,0,30,0,None,4,Pricing review
DL-1093,Foothill Health Network,Hospital System,Priya Nair,Conference,Meridian Core,Prospecting,25000,2024-10-11,2024-11-20,22,32,17,None,4,Contract sent
DL-1094,Willow Community Hospital,Hospital System,Rachel Kim,Inbound,Meridian Pro,Closed Won,72000,2024-06-26,2024-08-17,0,72,100,Cerner,5,Pilot debrief
DL-1095,Ironwood Medical Group,Urgent Care,Sarah Chen,Inbound,Meridian Core,Closed Won,34000,2024-07-15,2024-08-22,0,52,96,Cerner,4,Follow-up call
DL-1096,Maple Women's Health,Hospital System,Julia Novak,Conference,Meridian Core,Closed Won,34000,2024-05-22,2024-07-10,0,48,100,Cerner,5,Pilot debrief
DL-1097,Crestwood Regional Health,Specialty Practice,Devon Mills,Outbound,Meridian Core,Prospecting,19000,2024-06-12,2024-08-25,17,12,18,None,3,Send proposal
DL-1098,Willow Medical Group,Specialty Practice,Megan Torres,Inbound,Meridian Enterprise,Closed Won,112000,2024-07-11,2024-09-21,0,58,100,Cerner,4,Demo scheduled
DL-1099,Sunset Pediatric Center,Ambulatory Surgery Center,Fatima Hassan,Partner,Meridian Enterprise,Closed Won,430000,2024-05-03,2024-07-13,0,66,100,None,3,Legal review
DL-1100,Vista Cardiac Institute,Urgent Care,Fatima Hassan,Referral,Meridian Core,Closed Won,20000,2024-07-22,2024-08-21,0,55,100,None,2,Legal review
DL-1101,Riverside Medical Group,Urgent Care,Connor Walsh,Inbound,Meridian Pro,Closed Won,60000,2024-10-03,2024-11-02,0,49,99,In-House Solution,1,Demo scheduled
DL-1102,Valley Physicians Group,Ambulatory Surgery Center,Megan Torres,Referral,Meridian Pro,Closed Won,95000,2024-05-09,2024-06-06,0,38,99,None,1,Follow-up call
DL-1103,Lakeshore Health Services,Ambulatory Surgery Center,Megan Torres,Partner,Meridian Pro,Closed Won,99000,2024-07-21,2024-08-17,0,76,95,In-House Solution,4,Demo scheduled
DL-1104,Lakeside Medical Group,Hospital System,Connor Walsh,Inbound,Meridian Pro,Closed Won,95000,2024-09-21,2024-10-24,0,37,100,None,5,Executive meeting
DL-1105,Riverside Health System,Specialty Practice,Chris Park,Inbound,Meridian Enterprise,Qualified,445000,2024-07-26,2024-10-16,22,1,31,Epic,3,Pricing review
DL-1106,Summit Care Partners,Urgent Care,Aisha Brooks,Outbound,Meridian Pro,Closed Lost,52000,2024-05-12,2024-07-22,0,51,2,Cerner,3,Executive meeting
DL-1107,Valley Healthcare System,Specialty Practice,Fatima Hassan,Outbound,Meridian Enterprise,Demo Scheduled,162000,2024-05-24,2024-10-02,22,1,39,None,1,Follow-up call
